,Player,Team,POS,RushingAtt,RushingYds,RushingTD,Receptions,ReceivingYds,ReceivingTD,FL,FPTS,PassingAtt,CMP,PassingYds,PassingTD,INTS
19,Diontae Johnson,PIT,WR,4.2,,0.1,94.8,1045.6,6.1,1.0,142.8,0.0,0.0,,0.0,0.0
20,Terry McLaurin,WAS,WR,0.4,,0.0,78.5,1071.2,5.9,0.4,141.9,0.0,0.0,,0.0,0.0
21,Jaylen Waddle,MIA,WR,3.3,,0.3,89.4,999.0,6.1,0.6,139.5,0.0,0.0,,0.0,0.0
22,Courtland Sutton,DEN,WR,0.2,,0.0,70.2,996.6,6.6,0.5,138.2,0.0,0.0,,0.0,0.0
23,Michael Thomas,NO,WR,0.2,,0.0,85.5,995.1,6.5,0.5,137.3,0.0,0.0,,0.0,0.0
24,Amon-Ra St. Brown,DET,WR,6.6,,0.4,87.6,951.3,6.0,0.5,137.0,0.0,0.0,,0.0,0.0
25,Jerry Jeudy,DEN,WR,1.2,,0.0,75.0,1021.5,5.8,0.6,136.5,0.0,0.0,,0.0,0.0
26,Marquise Brown,ARI,WR,2.0,,0.1,78.9,994.1,6.0,0.6,135.6,0.0,0.0,,0.0,0.0
27,Darnell Mooney,CHI,WR,5.0,,0.2,77.9,1029.5,4.8,0.5,135.1,0.0,0.0,,0.0,0.0
28,Tyler Lockett,SEA,WR,2.1,,0.1,74.2,995.7,5.6,0.5,133.6,0.0,0.0,,0.0,0.0
29,Chris Godwin,TB,WR,2.2,,0.3,80.7,936.2,6.3,0.9,132.5,0.0,0.0,,0.0,0.0
30,Elijah Moore,NYJ,WR,6.2,,0.5,70.0,904.4,5.8,0.5,132.4,0.0,0.0,,0.0,0.0
31,Adam Thielen,MIN,WR,0.4,,0.0,74.2,841.0,7.9,0.5,130.3,0.0,0.0,,0.0,0.0
32,Amari Cooper,CLE,WR,0.2,,0.0,75.5,951.5,6.0,0.5,130.2,0.0,0.0,,0.0,0.0
33,JuJu Smith-Schuster,KC,WR,2.3,,0.5,78.5,854.0,6.6,0.5,127.5,0.0,0.0,,0.0,0.0
34,Robert Woods,TEN,WR,8.9,,0.7,73.5,875.6,5.0,0.5,127.0,0.0,0.0,,0.0,0.0
35,Allen Robinson II,LAR,WR,0.0,,0.0,75.4,914.3,6.0,0.5,126.5,0.0,0.0,,0.0,0.0
36,Hunter Renfrow,LV,WR,1.2,,0.0,82.9,884.7,6.3,0.6,125.9,0.0,0.0,,0.0,0.0
37,Rashod Bateman,BAL,WR,0.2,,0.0,73.5,931.9,5.0,0.5,122.7,0.0,0.0,,0.0,0.0
38,DeVonta Smith,PHI,WR,0.0,,0.0,62.8,863.3,5.6,0.5,119.1,0.0,0.0,,0.0,0.0
39,Chase Claypool,PIT,WR,8.7,,0.2,63.8,852.3,4.6,0.5,118.4,0.0,0.0,,0.0,0.0
