"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Kylin Hill","GB","8.7","34.4","0.1","5.1","37.8","0.1","0.0","8.3"
"Mekhi Sargent","JAC","2.2","42.1","0.3","3.2","19.4","0.1","0.1","8.3"
"Trestan Ebner","CHI","7.8","32.7","0.3","2.8","20.8","0.1","0.1","7.4"
"Andrew Beck","DEN","4.7","18.9","0.2","4.4","32.9","0.2","0.0","7.2"
"Devine Ozigbo","NO","4.8","19.2","0.2","3.9","31.4","0.2","0.0","7.1"
"Alec Ingold","MIA","4.3","17.5","0.2","4.4","31.1","0.2","0.1","7.0"
"Michael Burton","KC","5.8","28.2","0.3","2.6","14.9","0.2","0.0","6.9"
"Giovanni Ricci","CAR","4.5","18.2","0.1","4.1","31.2","0.2","0.0","6.8"
"Ryquell Armstead","JAC","5.9","24.6","0.2","3.0","24.1","0.1","0.0","6.8"
"Ty Johnson","NYJ","5.4","22.4","0.1","3.8","29.6","0.2","0.1","6.7"
"Alex Armah Jr.","WAS","4.8","19.0","0.2","3.9","27.8","0.2","0.0","6.7"
"Cethan Carter","MIA","0.0","0.9","0.0","2.6","43.9","0.4","0.0","6.6"
"La'Mical Perine","NYJ","4.3","17.2","0.2","3.9","26.9","0.2","0.0","6.4"
"Deon Jackson","IND","8.7","37.2","0.3","1.0","7.0","0.0","0.1","6.4"
"Mataeo Durant","PIT","7.4","30.6","0.2","2.1","14.4","0.1","0.0","6.0"
"Jason Cabinda","DET","3.3","10.7","0.1","4.8","31.9","0.2","0.0","6.0"
"Khari Blasingame","CHI","2.4","10.2","0.1","4.2","30.4","0.2","0.0","5.8"
"Derek Watt","PIT","2.2","10.0","0.1","4.3","28.1","0.2","0.0","5.5"
"Jakob Johnson","LV","4.0","9.4","0.1","4.4","26.9","0.2","0.0","5.4"
"Johnny Stanton IV","CLE","2.2","9.4","0.1","3.8","27.6","0.2","0.0","5.4"
"Patrick Taylor Jr.","GB","5.3","22.2","0.2","2.1","15.4","0.1","0.1","5.3"
"Adam Prentice","NO","4.4","18.7","0.1","2.0","14.7","0.1","0.0","5.0"
"Reggie Gilliam","BUF","0.0","0.0","0.0","4.4","32.6","0.2","0.0","4.6"
"Antonio Williams","NYG","5.0","21.6","0.2","1.4","9.9","0.1","0.1","4.4"
"Nick Bawden","NYJ","0.0","0.0","0.0","4.3","31.5","0.2","0.0","4.4"
